author|date|num_likes|num_retweets|num_comments|num_replies
@Australilou39|Dec 31, 2023 · 11:59 PM UTC||||
@Transportwunde1|Dec 31, 2023 · 11:59 PM UTC||||
@MinjaTruey|Dec 31, 2023 · 11:59 PM UTC||||
@CP_4_Heerlen|Dec 31, 2023 · 11:59 PM UTC|1|||
@The___Leader_|Dec 31, 2023 · 11:59 PM UTC|3|2|18|
@MussaabBashir|Dec 31, 2023 · 11:59 PM UTC|3|1|1|1
@shoegal1927|Dec 31, 2023 · 11:59 PM UTC||||
@MahaAzzam_ERC|Dec 31, 2023 · 11:59 PM UTC|3|1||
@Rahatluk123|Dec 31, 2023 · 11:58 PM UTC|1|1|1|
@CriiStaline59|Dec 31, 2023 · 11:58 PM UTC||||
@pinkiesbrain007|Dec 31, 2023 · 11:58 PM UTC||||
@CaseyCarey00|Dec 31, 2023 · 11:58 PM UTC||||
@elisahk92|Dec 31, 2023 · 11:58 PM UTC|9|7||
@Palestine972|Dec 31, 2023 · 11:58 PM UTC||||
@MShibarmy|Dec 31, 2023 · 11:57 PM UTC|1||4|
@Emdupuy|Dec 31, 2023 · 11:57 PM UTC|12|9|1|
@whoisniihe|Dec 31, 2023 · 11:57 PM UTC||||
@GemTam142|Dec 31, 2023 · 11:57 PM UTC|||1|
@Ruba17325328|Dec 31, 2023 · 11:57 PM UTC||||
@Amatu_Allah1|Dec 31, 2023 · 11:57 PM UTC||||
@Jbones72|Dec 31, 2023 · 11:57 PM UTC||||
@Stilllilmishap|Dec 31, 2023 · 11:57 PM UTC||||
@EaglewzoutNest|Dec 31, 2023 · 11:57 PM UTC||||
@DoctorranaAyaz1|Dec 31, 2023 · 11:57 PM UTC|1|||
@ibrar_dev|Dec 31, 2023 · 11:56 PM UTC||||
@The___Leader_|Dec 31, 2023 · 11:56 PM UTC|8|7|2|
@kite_pink64800|Dec 31, 2023 · 11:56 PM UTC||||
@ReportNewsWar|Dec 31, 2023 · 11:56 PM UTC||||
@UstadIbsy|Dec 31, 2023 · 11:56 PM UTC||||
@Yoossefff1|Dec 31, 2023 · 11:56 PM UTC||||
@ietsist|Dec 31, 2023 · 11:56 PM UTC|2|1||
@naz_omar|Dec 31, 2023 · 11:56 PM UTC||||
@Cecalli_Helper|Dec 31, 2023 · 11:56 PM UTC||||
@JASMilovavitch|Dec 31, 2023 · 11:55 PM UTC|738|300|214|25
@MussaabBashir|Dec 31, 2023 · 11:55 PM UTC|6|3||1
@Tidameboulet|Dec 31, 2023 · 11:55 PM UTC||||
@mazzie581|Dec 31, 2023 · 11:55 PM UTC||||
@dunngoldberg|Dec 31, 2023 · 11:55 PM UTC||||
@MohamedElibiary|Dec 31, 2023 · 11:55 PM UTC||||
@mohamed61033738|Dec 31, 2023 · 11:55 PM UTC||||
@kite_pink64800|Dec 31, 2023 · 11:55 PM UTC||||
@Mohamed40413537|Dec 31, 2023 · 11:55 PM UTC||||
@Enough03708413|Dec 31, 2023 · 11:55 PM UTC||||
@Phileas20_20|Dec 31, 2023 · 11:55 PM UTC|2|||
@Latinoss691|Dec 31, 2023 · 11:55 PM UTC||||
@Hanzalla24|Dec 31, 2023 · 11:54 PM UTC||||
@andreabox0|Dec 31, 2023 · 11:54 PM UTC||||
@Abu_Muhammad_2|Dec 31, 2023 · 11:54 PM UTC||||
@abdossami3|Dec 31, 2023 · 11:54 PM UTC||||
@_Citoyen_Alexis|Dec 31, 2023 · 11:54 PM UTC|35|18||
@shagittarian|Dec 31, 2023 · 11:54 PM UTC||||
@EviesSantiago|Dec 31, 2023 · 11:54 PM UTC|494|179|108|12
@tzarovic|Dec 31, 2023 · 11:54 PM UTC||||
@Mahfuzul2002|Dec 31, 2023 · 11:54 PM UTC|1|||
@Withthepoor1|Dec 31, 2023 · 11:54 PM UTC||||
@MeriemVerges|Dec 31, 2023 · 11:54 PM UTC|1|||
@PlanetReportHQ|Dec 31, 2023 · 11:53 PM UTC|80|73|32|19
@Nexo_Latino|Dec 31, 2023 · 11:53 PM UTC|523|325|26|9
@freethi67410491|Dec 31, 2023 · 11:53 PM UTC||||
@saleempress|Dec 31, 2023 · 11:53 PM UTC||||
@Voice_justice92|Dec 31, 2023 · 11:53 PM UTC|7|||
@hazemu|Dec 31, 2023 · 11:53 PM UTC||||
@GlobalNews70|Dec 31, 2023 · 11:53 PM UTC||||
@quds_feed|Dec 31, 2023 · 11:53 PM UTC||||
@marie75325|Dec 31, 2023 · 11:53 PM UTC||||
@The___Leader_|Dec 31, 2023 · 11:53 PM UTC|22|12|2|1
@KebFreeDz|Dec 31, 2023 · 11:53 PM UTC|||1|
@ADOLV1|Dec 31, 2023 · 11:52 PM UTC||||
@Zout_Zuur|Dec 31, 2023 · 11:52 PM UTC||||
@PaleProdigy|Dec 31, 2023 · 11:52 PM UTC||||
@Latinoss691|Dec 31, 2023 · 11:52 PM UTC|1||1|
@aizquierdo777|Dec 31, 2023 · 11:52 PM UTC|170|73|25|2
@GhaiGhaithahmad|Dec 31, 2023 · 11:52 PM UTC||||
@kerrymairead|Dec 31, 2023 · 11:52 PM UTC|1|1||
@galamiou|Dec 31, 2023 · 11:52 PM UTC|9|8|2|
@A3A3A3A123|Dec 31, 2023 · 11:51 PM UTC|17|6|2|
@GioTaranzano|Dec 31, 2023 · 11:51 PM UTC|22|10||
@baillorjah|Dec 31, 2023 · 11:51 PM UTC|1|||
@AyeshaaSiddiqa|Dec 31, 2023 · 11:51 PM UTC|15|10||
@A_adil_aa|Dec 31, 2023 · 11:51 PM UTC||1|4|
@shagittarian|Dec 31, 2023 · 11:51 PM UTC||||
@spiro_82|Dec 31, 2023 · 11:51 PM UTC||||
@MertAydn369|Dec 31, 2023 · 11:51 PM UTC||||
@AElshama3|Dec 31, 2023 · 11:51 PM UTC||||
@alana_lach|Dec 31, 2023 · 11:50 PM UTC||||
@BuryPuddin|Dec 31, 2023 · 11:50 PM UTC||||
@nishat76|Dec 31, 2023 · 11:50 PM UTC|77|49|2|
@momenzellmii|Dec 31, 2023 · 11:50 PM UTC||||
@ali_hasnainshah|Dec 31, 2023 · 11:50 PM UTC|7|4||
@gomzrock11|Dec 31, 2023 · 11:50 PM UTC||||
@Abrahimmusa13|Dec 31, 2023 · 11:50 PM UTC||||
@IngeniumSecreto|Dec 31, 2023 · 11:50 PM UTC||||
@Ylainoa|Dec 31, 2023 · 11:50 PM UTC||||
@YourAnonAI|Dec 31, 2023 · 11:50 PM UTC|16|4|1|
@moussa_randa|Dec 31, 2023 · 11:50 PM UTC|1|1||
@ismaail78|Dec 31, 2023 · 11:50 PM UTC||||
@SarahHIbrahiim|Dec 31, 2023 · 11:49 PM UTC||1|1|
@GlobalNews70|Dec 31, 2023 · 11:49 PM UTC||||
@quds_feed|Dec 31, 2023 · 11:49 PM UTC||||
@WBCdefenders|Dec 31, 2023 · 11:49 PM UTC||||
@amalamiri14|Dec 31, 2023 · 11:49 PM UTC|1|1|1|
@AminJarrar1|Dec 31, 2023 · 11:49 PM UTC||||
@FalasAbuAmal|Dec 31, 2023 · 11:49 PM UTC|223|105|8|
@GeorgeMbaka|Dec 31, 2023 · 11:49 PM UTC||||
@MaikenMaus|Dec 31, 2023 · 11:49 PM UTC||||
@Orzala|Dec 31, 2023 · 11:48 PM UTC|2|||
@salama_shalalda|Dec 31, 2023 · 11:48 PM UTC||||
@t_taeki|Dec 31, 2023 · 11:48 PM UTC||||
@TruthSeekerPK|Dec 31, 2023 · 11:48 PM UTC||||
@convencia|Dec 31, 2023 · 11:48 PM UTC||||
@AliNaji46|Dec 31, 2023 · 11:48 PM UTC|1|||
@Somali_ICS|Dec 31, 2023 · 11:48 PM UTC|5|1||
@Sumaya698715911|Dec 31, 2023 · 11:48 PM UTC||||
@UstadIbsy|Dec 31, 2023 · 11:48 PM UTC|1|||
@Binabu_4U2NV|Dec 31, 2023 · 11:48 PM UTC||||
@MKayranc|Dec 31, 2023 · 11:47 PM UTC||||
@Commando4248159|Dec 31, 2023 · 11:47 PM UTC|2|1||1
@SamirBenouna|Dec 31, 2023 · 11:47 PM UTC||||
@Madpal88|Dec 31, 2023 · 11:47 PM UTC||||
@DebbieSchlussel|Dec 31, 2023 · 11:47 PM UTC|6|2|4|
@Itongadol|Dec 31, 2023 · 11:47 PM UTC|7|4||
@MertAydn369|Dec 31, 2023 · 11:47 PM UTC|1|||
@SarahConnorFree|Dec 31, 2023 · 11:47 PM UTC|3||1|
@ul_mehrab|Dec 31, 2023 · 11:47 PM UTC||1|1|
@VivaAndLibre|Dec 31, 2023 · 11:47 PM UTC||||
@MAHERMUHAMMADF2|Dec 31, 2023 · 11:47 PM UTC||||
@JesusPalestine_|Dec 31, 2023 · 11:46 PM UTC|||7|
@quds_feed|Dec 31, 2023 · 11:46 PM UTC||||
@AlswydyHrb|Dec 31, 2023 · 11:46 PM UTC||||
@AgenciaAJN|Dec 31, 2023 · 11:46 PM UTC|19|10|1|2
